"quarter","assets.group","grossSR","netSR","grossCR","netCR","av.daily.ntrades","grossPnL","netPnL","stat"
"2021_Q1",1,2.48790140369075,1.5044422998668,12.7360030086669,6.22961750490264,19.8412698412698,32848.8899999997,20171.1899999997,18.7153617096981
"2021_Q3",1,1.63182607311597,0.344355634776789,6.06411026449757,0.906231844203644,19.7878787878788,16528.9799999994,3570.86999999933,1.15346028625444
"2021_Q4",1,2.10811140895613,1.13325560066498,9.15691733057345,3.14519931614247,20.9393939393939,30546.5300000016,16670.1300000016,8.849390966903
"2022_Q2",1,-0.135845164715223,-0.644322991038909,-0.304312441293915,-1.25534195131853,19.1692307692308,-3276.23999999918,-15703.9399999992,-3.4571008072518
"2022_Q4",1,-0.669474379698816,-1.24460618548504,-1.28717564322086,-2.30096719339887,19.5384615384615,-14581.3300000001,-27513.8700000001,-7.62699350118924
"2023_Q1",1,1.92421452064805,1.27227626937748,8.03175150421748,4.9913766101583,15.5076923076923,30656.7700000002,20596.7700000002,15.0995844248151
"2023_Q2",1,1.00859821196848,0.348138231405963,3.04308147631697,0.963064526457832,13.34375,13035.6800000001,4545.08000000011,1.45812334803514
"2021_Q1",1,2.48790140369075,1.5044422998668,12.7360030086669,6.22961750490264,19.8412698412698,32848.8899999997,20171.1899999997,18.7153617096981
"2021_Q3",1,1.63182607311597,0.344355634776789,6.06411026449757,0.906231844203644,19.7878787878788,16528.9799999994,3570.86999999933,1.15346028625444
"2021_Q4",1,2.10811140895613,1.13325560066498,9.15691733057345,3.14519931614247,20.9393939393939,30546.5300000016,16670.1300000016,8.849390966903
"2022_Q2",1,-0.135845164715223,-0.644322991038909,-0.304312441293915,-1.25534195131853,19.1692307692308,-3276.23999999918,-15703.9399999992,-3.4571008072518
"2022_Q4",1,-0.669474379698816,-1.24460618548504,-1.28717564322086,-2.30096719339887,19.5384615384615,-14581.3300000001,-27513.8700000001,-7.62699350118924
"2023_Q1",1,1.92421452064805,1.27227626937748,8.03175150421748,4.9913766101583,15.5076923076923,30656.7700000002,20596.7700000002,15.0995844248151
"2023_Q2",1,1.00859821196848,0.348138231405963,3.04308147631697,0.963064526457832,13.34375,13035.6800000001,4545.08000000011,1.45812334803514
"2021_Q1",1,2.5255390513393,0.557612243530374,9.89019589725401,1.68412759900352,33.9365079365079,28899.8199999994,6445.26999999941,3.1381133150765
"2021_Q3",1,0.727497491956965,-1.4464546231609,2.58506860936089,-2.90494318876378,34.8787878787879,7520.14000000056,-15497.2099999994,-7.96146162215284
"2021_Q4",1,-0.0691738358766795,-1.77959515501214,-0.134299419255702,-2.31449428025217,35.5151515151515,-915.589999997774,-24204.9899999978,-7.37527214001934
"2022_Q2",1,0.692628974245221,-0.164036521582121,1.65461565808806,-0.354000272093929,32.6769230769231,17070.7400000007,-4110.60999999929,-0.500404672963434
"2022_Q4",1,-0.166697464660049,-1.31741710484626,-0.372581630409075,-2.68004070777647,35.7846153846154,-3303.81999999966,-26652.1199999996,-8.79822174669134
"2023_Q1",1,3.86037416139049,2.82181892779745,13.1330025817721,8.78069014674,23.6,60792.5099999999,45492.5099999999,33.5207034479483
"2023_Q2",1,0.280121607829705,-0.707981490922962,0.739965082696528,-1.53876052841218,18.96875,3393.39999999927,-8698.20000000072,-3.32851768490574
"2021_Q1",1,1.76451138897386,1.06656461397201,8.48383147232105,4.24908714626518,15.047619047619,24841.210000001,15203.510000001,11.5640025140811
"2021_Q3",1,0.182270040818978,-0.655430187754727,0.613268106896385,-1.67659294397348,14.2424242424242,1999.87999999982,-7318.23000000021,-3.33703777538769
"2021_Q4",1,3.96881691189449,3.28874491587974,24.1445096759323,18.4535985239907,14.2121212121212,58565.6700000007,49109.2700000007,71.8591950177104
"2022_Q2",1,-0.775121901070783,-1.16194740246237,-1.26009832865903,-1.74510181745224,14.9846153846154,-18924.7999999997,-28612.4999999997,-5.85279871063055
"2022_Q4",1,0.527278010961839,0.0675903839611584,1.33923511608636,0.164946993554777,13.8461538461538,10585.1900000001,1372.65000000009,0.0522458349479083
"2023_Q1",1,2.284526690205,1.78697493398776,7.54270466888005,5.77620189358507,11.7230769230769,36502.5899999999,28902.5899999999,19.4307458278643
"2023_Q2",1,1.2599019917886,0.726270402684376,3.57123050574016,1.96980384462348,10.75,16392.6600000007,9542.06000000062,4.44330503875066
"2021_Q1",1,1.76451138897386,1.06656461397201,8.48383147232105,4.24908714626518,15.047619047619,24841.210000001,15203.510000001,11.5640025140811
"2021_Q3",1,0.182270040818978,-0.655430187754727,0.613268106896385,-1.67659294397348,14.2424242424242,1999.87999999982,-7318.23000000021,-3.33703777538769
"2021_Q4",1,3.96881691189449,3.28874491587974,24.1445096759323,18.4535985239907,14.2121212121212,58565.6700000007,49109.2700000007,71.8591950177104
"2022_Q2",1,-0.775121901070783,-1.16194740246237,-1.26009832865903,-1.74510181745224,14.9846153846154,-18924.7999999997,-28612.4999999997,-5.85279871063055
"2022_Q4",1,0.527278010961839,0.0675903839611584,1.33923511608636,0.164946993554777,13.8461538461538,10585.1900000001,1372.65000000009,0.0522458349479083
"2023_Q1",1,2.284526690205,1.78697493398776,7.54270466888005,5.77620189358507,11.7230769230769,36502.5899999999,28902.5899999999,19.4307458278643
"2023_Q2",1,1.2599019917886,0.726270402684376,3.57123050574016,1.96980384462348,10.75,16392.6600000007,9542.06000000062,4.44330503875066
"2021_Q1",1,1.76451138897386,1.06656461397201,8.48383147232105,4.24908714626518,15.047619047619,24841.210000001,15203.510000001,11.5640025140811
"2021_Q3",1,0.182270040818978,-0.655430187754727,0.613268106896385,-1.67659294397348,14.2424242424242,1999.87999999982,-7318.23000000021,-3.33703777538769
"2021_Q4",1,3.96881691189449,3.28874491587974,24.1445096759323,18.4535985239907,14.2121212121212,58565.6700000007,49109.2700000007,71.8591950177104
"2022_Q2",1,-0.775121901070783,-1.16194740246237,-1.26009832865903,-1.74510181745224,14.9846153846154,-18924.7999999997,-28612.4999999997,-5.85279871063055
"2022_Q4",1,0.527278010961839,0.0675903839611584,1.33923511608636,0.164946993554777,13.8461538461538,10585.1900000001,1372.65000000009,0.0522458349479083
"2023_Q1",1,2.284526690205,1.78697493398776,7.54270466888005,5.77620189358507,11.7230769230769,36502.5899999999,28902.5899999999,19.4307458278643
"2023_Q2",1,1.2599019917886,0.726270402684376,3.57123050574016,1.96980384462348,10.75,16392.6600000007,9542.06000000062,4.44330503875066
"2021_Q1",1,1.76451138897386,1.06656461397201,8.48383147232105,4.24908714626518,15.047619047619,24841.210000001,15203.510000001,11.5640025140811
"2021_Q3",1,0.182270040818978,-0.655430187754727,0.613268106896385,-1.67659294397348,14.2424242424242,1999.87999999982,-7318.23000000021,-3.33703777538769
"2021_Q4",1,3.96881691189449,3.28874491587974,24.1445096759323,18.4535985239907,14.2121212121212,58565.6700000007,49109.2700000007,71.8591950177104
"2022_Q2",1,-0.775121901070783,-1.16194740246237,-1.26009832865903,-1.74510181745224,14.9846153846154,-18924.7999999997,-28612.4999999997,-5.85279871063055
"2022_Q4",1,0.527278010961839,0.0675903839611584,1.33923511608636,0.164946993554777,13.8461538461538,10585.1900000001,1372.65000000009,0.0522458349479083
"2023_Q1",1,2.284526690205,1.78697493398776,7.54270466888005,5.77620189358507,11.7230769230769,36502.5899999999,28902.5899999999,19.4307458278643
"2023_Q2",1,1.2599019917886,0.726270402684376,3.57123050574016,1.96980384462348,10.75,16392.6600000007,9542.06000000062,4.44330503875066
"2021_Q1",1,2.5255390513393,0.557612243530374,9.89019589725401,1.68412759900352,33.9365079365079,28899.8199999994,6445.26999999941,3.1381133150765
"2021_Q3",1,0.727497491956965,-1.4464546231609,2.58506860936089,-2.90494318876378,34.8787878787879,7520.14000000056,-15497.2099999994,-7.96146162215284
"2021_Q4",1,-0.0691738358766795,-1.77959515501214,-0.134299419255702,-2.31449428025217,35.5151515151515,-915.589999997774,-24204.9899999978,-7.37527214001934
"2022_Q2",1,0.692628974245221,-0.164036521582121,1.65461565808806,-0.354000272093929,32.6769230769231,17070.7400000007,-4110.60999999929,-0.500404672963434
"2022_Q4",1,-0.166697464660049,-1.31741710484626,-0.372581630409075,-2.68004070777647,35.7846153846154,-3303.81999999966,-26652.1199999996,-8.79822174669134
"2023_Q1",1,3.86037416139049,2.82181892779745,13.1330025817721,8.78069014674,23.6,60792.5099999999,45492.5099999999,33.5207034479483
"2023_Q2",1,0.280121607829705,-0.707981490922962,0.739965082696528,-1.53876052841218,18.96875,3393.39999999927,-8698.20000000072,-3.32851768490574
"2021_Q1",1,2.10513110594186,1.49848687891483,9.16795578754997,5.57922561661105,13.5238095238095,29893.2200000005,21539.2700000006,17.1275407540446
"2021_Q3",1,0.0256198917117046,-0.715166741518468,0.0866483761998669,-1.91813019855325,12.7575757575758,288.610000000081,-8190.88999999989,-4.03387108262634
"2021_Q4",1,4.69200237189281,4.05988338169669,31.3759602465252,21.9812229322561,13.0909090909091,68387.7899999998,59770.1899999998,89.9143471892057
"2022_Q2",1,-0.67707940754415,-1.02033912837606,-1.09989624558787,-1.54353734212834,14.1846153846154,-17871.6600000003,-27118.6100000004,-5.09401312840473
"2022_Q4",1,-0.0109532574613305,-0.440652036521723,-0.0326020032358273,-1.14495855731661,12.8,-213.719999999525,-8682.87999999952,-2.47465992287222
"2023_Q1",1,3.7804357952461,3.30041943583274,13.3174167073593,11.3831239247235,10.2769230769231,56227.5099999997,49587.5099999997,44.4367446645343
"2023_Q2",1,0.822762336747498,0.290763346820135,2.33180479728372,0.787598158362135,10.6875,10620.4099999999,3787.20999999995,1.04878902077524
"2021_Q1",1,2.10513110594186,1.49848687891483,9.16795578754997,5.57922561661105,13.5238095238095,29893.2200000005,21539.2700000006,17.1275407540446
"2021_Q3",1,0.0256198917117046,-0.715166741518468,0.0866483761998669,-1.91813019855325,12.7575757575758,288.610000000081,-8190.88999999989,-4.03387108262634
"2021_Q4",1,4.69200237189281,4.05988338169669,31.3759602465252,21.9812229322561,13.0909090909091,68387.7899999998,59770.1899999998,89.9143471892057
"2022_Q2",1,-0.67707940754415,-1.02033912837606,-1.09989624558787,-1.54353734212834,14.1846153846154,-17871.6600000003,-27118.6100000004,-5.09401312840473
